timestamp,latitude,longitude,heartRate,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,magnetoX,magnetoY,magnetoZ
1706815757200,0.0,0.0,63.0,2.9233203,-5.961562,7.177817,-15.599999,41.399998,-3.12,-0.012217305,-0.007330383,0.009773844
1706815758320,0.0,0.0,63.0,2.9759927,-5.995081,7.240066,-14.28,40.079998,-0.9,0.0,-0.0012217305,-0.002443461
1706815759439,0.0,0.0,0.0,3.0214825,-5.9807158,7.156269,-15.12,41.46,-3.1799998,-0.007330383,0.0,-0.002443461
1706815760519,0.0,0.0,63.0,2.9903579,-6.009446,7.204153,-15.48,40.92,-1.68,0.014660766,0.0061086523,-0.007330383
1706815761679,0.0,0.0,64.0,3.0334535,-5.995081,7.1945763,-14.94,41.7,-4.08,0.004886922,0.0012217305,-0.0036651916
1706815762798,0.0,0.0,64.0,2.9855695,-5.985504,7.129933,-14.639999,41.399998,-3.72,0.013439035,0.009773844,-0.004886922
1706815763920,0.0,0.0,64.0,3.0310593,-6.0477533,7.062895,-15.12,40.98,-3.8999999,0.004886922,0.0061086523,-0.0061086523
1706815765039,0.0,0.0,64.0,2.9999347,-5.901707,7.21373,-15.66,40.98,-2.52,-0.0012217305,0.0,-0.002443461
1706815766158,0.0,0.0,64.0,3.0238767,-5.9926867,7.189788,-15.719999,41.94,-3.78,0.002443461,-0.0036651916,0.0012217305
1706815767277,0.0,0.0,64.0,2.96881,-6.0357823,7.1347213,-16.02,40.86,-3.12,-0.0036651916,-0.0012217305,0.007330383
1706815768395,0.0,0.0,64.0,2.9855695,-5.997475,7.192182,-16.14,41.879997,-3.24,-0.002443461,0.0036651916,0.004886922
1706815769511,0.0,0.0,64.0,2.9281087,-6.069301,7.0940194,-15.599999,41.399998,-3.4199998,-0.0012217305,0.013439035,0.015882496
1706815770635,0.0,0.0,63.0,2.779668,-6.0022635,7.067683,-15.78,41.64,-2.76,0.080634214,0.042760566,0.035430185
1706815771750,0.0,0.0,63.0,2.80361,-6.0740895,7.1634517,-15.42,41.64,-2.9399998,-0.014660766,-0.008552114,0.014660766
1706815772875,0.0,0.0,64.0,2.7126305,-6.126762,7.1347213,-14.04,41.46,-3.4199998,-0.021991149,0.017104227,0.012217305
